fips,admin2,province_state,country_region,last_update,latitude,longitude,confirmed,deaths,recovered,active,combined_key
,,Yun,China,2020-01-27T23:59:00,24.974,101.487,26,,,,"Yun, China"
,,Tianjin,China,2020-01-27T23:59:00,39.305,117.323,23,,,,"Tianjin, China"
,,Heilongjiang,China,2020-01-27T23:59:00,47.862,127.761,21,1,,,"Heilongjiang, China"
,,Hebei,China,2020-01-27T23:59:00,38.043,114.515,18,1,,,"Hebei, China"
,,Gansu,China,2020-01-27T23:59:00,36.061,103.834,14,,,,"Gansu, China"
,,Shanxi,China,2020-01-27T23:59:00,37.578,112.292,13,,,,"Shanxi, China"
,,Inner Mongolia,China,2020-01-27T23:59:00,44.093,113.945,11,,,,"Inner Mongolia, China"
,,Hong Kong,Hong Kong,2020-01-27T23:59:00,22.3,114.2,8,,,,"Hong Kong, Hong Kong"
,,Guizhou,China,2020-01-27T23:59:00,26.815,106.875,7,,,,"Guizhou, China"
,,Ningxia,China,2020-01-27T23:59:00,37.269,106.165,7,,,,"Ningxia, China"
,,Jilin,China,2020-01-27T23:59:00,43.666,126.192,6,,,,"Jilin, China"
,,Macau,Macau,2020-01-27T23:59:00,22.167,113.55,6,,,,"Macau, Macau"
,,Qinghai,China,2020-01-27T23:59:00,35.745,95.996,6,,,,"Qinghai, China"
,,Taiwan,Taiwan,2020-01-27T23:59:00,23.7,121.0,5,,,,"Taiwan, Taiwan"
,,Xinjiang,China,2020-01-27T23:59:00,41.113,85.24,5,,,,"Xinjiang, China"
,,Washington,US,2020-01-27T23:59:00,47.401,-121.49,1,,,,"Washington, US"
,,Illinois,US,2020-01-27T23:59:00,40.349,-88.986,1,,,,"Illinois, US"
,,California,US,2020-01-27T23:59:00,36.116,-119.682,2,,,,"California, US"
,,Arizona,US,2020-01-27T23:59:00,33.73,-111.431,1,,,,"Arizona, US"
,,,Japan,2020-01-27T23:59:00,36.0,138.0,4,,1,,Japan
,,,Thailand,2020-01-27T23:59:00,15.0,101.0,8,,2,,Thailand
,,,South Korea,2020-01-27T23:59:00,36.0,128.0,4,,,,South Korea
,,,Singapore,2020-01-27T23:59:00,1.283,103.833,5,,,,Singapore
,,,Vietnam,2020-01-27T23:59:00,16.0,108.0,2,,,,Vietnam
00250,,,France,2020-01-27T23:59:00,47.0,2.0,3,,,,France
,,,Nepal,2020-01-27T23:59:00,28.167,84.25,1,,,,Nepal
,,,Malaysia,2020-01-27T23:59:00,2.5,112.5,4,,,,Malaysia
,,Ontario,Canada,2020-01-27T23:59:00,51.254,-85.323,1,,,,"Ontario, Canada"
,,,Cambodia,2020-01-27T23:59:00,11.55,104.917,1,,,,Cambodia
,,,Sri Lanka,2020-01-27T23:59:00,7.0,81.0,1,,,,Sri Lanka
,,,Ivory Coast,2020-01-27T23:59:00,7.568,-5.495,1,,,,Ivory Coast
,,New South Wales,Australia,2020-01-27T23:59:00,-33.869,151.209,4,,,,"New South Wales, Australia"
,,Victoria,Australia,2020-01-27T23:59:00,-37.814,144.963,1,,,,"Victoria, Australia"
,,Hubei,China,2020-01-28T23:00:00,30.976,112.271,3554,125,80,,"Hubei, China"
,,Guangdong,China,2020-01-28T23:00:00,23.342,113.424,207,,4,,"Guangdong, China"
,,Zhejiang,China,2020-01-28T23:00:00,29.183,120.093,173,,3,,"Zhejiang, China"
,,He,China,2020-01-28T23:00:00,33.882,113.614,168,1,,,"He, China"
,,Hu,China,2020-01-28T23:00:00,27.61,111.709,143,,,,"Hu, China"
,,Chongqing,China,2020-01-28T23:00:00,30.057,107.874,132,,,,"Chongqing, China"
,,Jiangxi,China,2020-01-28T23:00:00,27.614,115.722,109,,3,,"Jiangxi, China"
,,Anhui,China,2020-01-28T23:00:00,31.826,117.226,106,,,,"Anhui, China"
,,Shandong,China,2020-01-28T23:00:00,36.343,118.15,95,,,,"Shandong, China"
,,Beijing,China,2020-01-28T23:00:00,40.182,116.414,91,1,4,,"Beijing, China"
,,Sichuan,China,2020-01-28T23:00:00,30.617,102.71,90,,,,"Sichuan, China"
,,Fujian,China,2020-01-28T23:00:00,26.079,117.987,80,,,,"Fujian, China"
,,Jiangsu,China,2020-01-28T23:00:00,32.971,119.455,70,,1,,"Jiangsu, China"
,,Shanghai,China,2020-01-28T23:00:00,31.202,121.449,66,1,4,,"Shanghai, China"
,,Guangxi,China,2020-01-28T23:00:00,23.83,108.788,51,,2,,"Guangxi, China"
,,Shaanxi,China,2020-01-28T23:00:00,35.192,108.87,46,,,,"Shaanxi, China"
,,Yun,China,2020-01-28T23:00:00,24.974,101.487,44,,,,"Yun, China"
,,Hai,China,2020-01-28T23:00:00,19.196,109.745,40,1,,,"Hai, China"
,,Liaoning,China,2020-01-28T23:00:00,41.296,122.609,34,,,,"Liaoning, China"
,,Hebei,China,2020-01-28T23:00:00,38.043,114.515,33,1,,,"Hebei, China"
,,Heilongjiang,China,2020-01-28T23:00:00,47.862,127.761,33,1,,,"Heilongjiang, China"
,,Shanxi,China,2020-01-28T23:00:00,37.578,112.292,27,,,,"Shanxi, China"
,,Tianjin,China,2020-01-28T23:00:00,39.305,117.323,24,,,,"Tianjin, China"
,,Gansu,China,2020-01-28T23:00:00,36.061,103.834,19,,,,"Gansu, China"
,,Inner Mongolia,China,2020-01-28T23:00:00,44.093,113.945,15,,,,"Inner Mongolia, China"
,,Ningxia,China,2020-01-28T23:00:00,37.269,106.165,11,,,,"Ningxia, China"
,,Xinjiang,China,2020-01-28T23:00:00,41.113,85.24,10,,,,"Xinjiang, China"
,,Guizhou,China,2020-01-28T23:00:00,26.815,106.875,9,,,,"Guizhou, China"
,,Jilin,China,2020-01-28T23:00:00,43.666,126.192,8,,,,"Jilin, China"
,,Taiwan,Taiwan,2020-01-28T23:00:00,23.7,121.0,8,,,,"Taiwan, Taiwan"
,,Hong Kong,Hong Kong,2020-01-28T23:00:00,22.3,114.2,8,,,,"Hong Kong, Hong Kong"
,,Macau,Macau,2020-01-28T23:00:00,22.167,113.55,7,,,,"Macau, Macau"
,,Qinghai,China,2020-01-28T23:00:00,35.745,95.996,6,,,,"Qinghai, China"
,,Washington,US,2020-01-28T23:00:00,47.401,-121.49,1,,,,"Washington, US"
,,Illinois,US,2020-01-28T23:00:00,40.349,-88.986,1,,,,"Illinois, US"
,,California,US,2020-01-28T23:00:00,36.116,-119.682,2,,,,"California, US"
,,Arizona,US,2020-01-28T23:00:00,33.73,-111.431,1,,,,"Arizona, US"
,,,Japan,2020-01-28T23:00:00,36.0,138.0,7,,1,,Japan
,,,Thailand,2020-01-28T23:00:00,15.0,101.0,14,,5,,Thailand
,,,South Korea,2020-01-28T23:00:00,36.0,128.0,4,,,,South Korea
,,,Singapore,2020-01-28T23:00:00,1.283,103.833,7,,,,Singapore
,,,Vietnam,2020-01-28T23:00:00,16.0,108.0,2,,,,Vietnam
